Country Code,2015,2016,2017,2018,2019,2020
ARE,43534.99727,41326.40182,42340.59172,45689.857,44251.45414,37173.87541
AUS,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018
BGD,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788
BRA,8936.196617,8836.286527,10080.50928,9300.661649,9029.833267,7074.193783
CAN,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393
CHN,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638
CIV,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348
COL,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114
DEU,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519
EGY,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381
ESP,25982.44162,26755.60611,28381.34256,30602.42129,29786.52457,27233.94265
FRA,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606
GBR,44983.88552,40988.10442,40629.23403,43315.48745,42794.00226,40404.80622
HKG,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999
IDN,3288.222697,3521.469435,3798.883262,3860.953531,4106.948562,3853.702888
IND,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516
IRN,4952.733555,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224
ITA,30639.88298,31391.56929,32844.11566,34904.10819,33812.78872,32091.48666
JOR,4042.756781,3986.71677,4065.616287,4145.439897,4170.1144,4022.040136
JPN,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40028.73417
MEX,10021.23861,9097.923977,9649.278168,10084.79376,10369.55536,8841.270751
MMR,1166.733055,1229.197135,1272.822418,1298.213103,1425.989542,1490.216835
MYS,9648.679794,9476.534098,9862.548066,10901.802,10920.19176,9957.526267
NGA,2585.733607,2070.412734,1876.340271,2057.879446,2265.155209,2019.657063
PAK,1380.470208,1424.691612,1519.234595,1569.338146,1390.41691,1278.397352
PHL,2909.85818,2985.19564,3038.12125,3168.510366,3400.789498,3227.579102
QAT,68985.2947,61253.63755,63279.85569,71039.84906,66841.30135,51683.50544
ROU,8977.017482,9404.540059,10727.9822,12502.26241,12992.03261,13082.30066
RUS,9277.713867,8663.158203,10658.91309,11211.8877,11447.70117,10108.32715
SAU,23256.15496,22267.72171,23929.29071,29360.0659,29566.79338,24338.83073
SDN,1292.379639,1033.215942,966.5056763,731.0274658,709.9752808,577.7952271
SSD,1080.147186,,,,,
SYR,847.7316319,656.3490586,851.5020053,1098.066864,1109.53926,572.3552898
TUR,11049.99511,10970.04589,10695.5502,9568.835063,9215.440499,8638.739038
UGA,862.9346104,752.6965717,765.2183323,792.1657002,822.1711501,845.7664639
UKR,2094.473877,2158.461182,2604.287598,3059.051758,3619.861572,3709.769287
USA,56849.46979,57976.6282,60047.71907,62875.66614,65227.95659,64401.50744
VEN,15943.61,,,,,
VNM,2577.568853,2735.060438,2956.109921,3222.310031,3440.900254,3534.039535
ZAF,6112.273825,5651.205852,6618.335083,6914.178032,6533.71121,5580.603831
