Country,Total_Flow,In_Migration,Out_Migration,Net_Migration,Weighted_Degree,Weighted_Betweenness,Weighted_Clustering,Connection_Count
USA,14455951.129999999,10486086.27,3969864.86,6516221.41,14455951.129999999,0.0,0.011788795687305457,78
IND,8397665.99,3403172.55,4994493.44,-1591320.8900000006,8397665.99,0.0,0.007591819660538185,78
PAK,7817570.1,564223.9199999999,7253346.18,-6689122.26,7817570.1,0.02496626180836707,0.007045372084973484,70
SAU,6049703.83,2614961.22,3434742.61,-819781.3899999997,6049703.83,0.0,0.006549764812477145,72
BGD,6011354.17,882128.76,5129225.41,-4247096.65,6011354.17,0.0,0.0062297204685368415,69
GBR,4407334.04,2980327.32,1427006.72,1553320.5999999999,4407334.04,0.0,0.006277900409871871,78
MEX,4072396.29,1460356.3399999999,2612039.95,-1151683.6100000003,4072396.29,0.0,0.0014670924010917144,78
DEU,4005858.05,2763689.55,1242168.5,1521521.0499999998,4005858.05,0.3451417004048583,0.005862884767989868,74
CHN,3720581.0199999996,1352815.7,2367765.32,-1014949.6199999999,3720581.0199999996,0.0,0.004642653630877559,78
CAN,3547344.0,2545433.85,1001910.15,1543523.7000000002,3547344.0,0.0,0.006198209362306343,78
ARE,3004689.8,1737472.01,1267217.79,470254.22,3004689.8,0.0,0.003576097000092788,76
RUS,2864024.9299999997,1999911.44,864113.49,1135797.95,2864024.9299999997,0.0,0.002505319357292547,73
VEN,2796746.4899999998,396663.63,2400082.86,-2003419.23,2796746.4899999998,0.22604588394062078,0.0013541609673529407,77
TUR,2639664.92,1800334.33,839330.5900000001,961003.74,2639664.92,0.0,0.0029152808974866984,78
ITA,2541996.9400000004,1427149.59,1114847.35,312302.24,2541996.9400000004,0.0,0.004749032631435978,78
AUS,2531418.77,1743041.8,788376.97,954664.8300000001,2531418.77,0.0,0.00478024544272965,78
COL,2471248.9299999997,2013435.16,457813.77,1555621.39,2471248.9299999997,0.08771929824561403,0.0015573422458114653,64
PHL,2080429.85,618010.89,1462418.96,-844408.07,2080429.85,0.05499325236167341,0.00320056300896825,67
UKR,1995162.3599999999,862877.83,1132284.53,-269406.70000000007,1995162.3599999999,0.0,0.0018947888759240136,69
ESP,1978259.43,1291314.97,686944.46,604370.51,1978259.43,0.0,0.003497756607201074,76
JPN,1712740.35,1427569.03,285171.32,1142397.71,1712740.35,0.0,0.0028520109728447296,78
SSD,1584666.6099999999,352152.23,1232514.38,-880362.1499999999,1584666.6099999999,0.37112010796221323,0.00058765814901886,60
MYS,1543259.5300000003,1149756.1500000001,393503.38,756252.7700000001,1543259.5300000003,0.0,0.0018779381361691304,74
JOR,1427610.81,830776.86,596833.9500000001,233942.90999999992,1427610.81,0.08738191632928474,0.0015668209162886004,68
EGY,1381861.29,572655.04,809206.25,-236551.20999999996,1381861.29,0.004048582995951417,0.0022362822404515988,73
FRA,1312367.7,701342.45,611025.25,90317.19999999995,1312367.7,0.0,0.0030855405707818414,78
IRN,1304413.17,611934.07,692479.1,-80545.03000000003,1304413.17,0.049257759784075573,0.002148992455252426,62
HKG,1298691.77,653184.85,645506.92,7677.929999999935,1298691.77,0.0,0.001933020193899422,69
BRA,1233532.97,367374.96,866158.01,-498783.05,1233532.97,0.0,0.0017957224759070317,78
SYR,1171666.6400000001,617091.5,554575.14,62516.359999999986,1171666.6400000001,0.02564102564102564,0.00170189247890192,60
SDN,1042060.47,805660.3099999999,236400.16,569260.1499999999,1042060.47,0.48549257759784076,0.0006710296928402503,68
ROU,1005955.05,445251.8,560703.25,-115451.45000000001,1005955.05,0.16464237516869096,0.0017956556265899155,67
QAT,996767.9,591578.41,405189.49,186388.92000000004,996767.9,0.0,0.001805998939335181,76
IDN,976223.9299999999,459681.39999999997,516542.53,-56861.13000000006,976223.9299999999,0.0,0.001312361678333963,74
VNM,906004.01,621237.91,284766.10000000003,336471.81,906004.01,0.11605937921727395,0.002219742457174217,53
UGA,768530.52,630792.17,137738.35,493053.82000000007,768530.52,0.03576248313090418,0.00042268981516880227,61
MMR,699491.32,195750.41999999998,503740.89999999997,-307990.48,699491.32,0.7766531713900134,0.0011830118215282787,66
ZAF,445491.83999999997,237868.03,207623.81,30244.22,445491.83999999997,0.0,0.0012648114829629995,78
NGA,414173.88,114371.43000000001,299802.45,-185431.02000000002,414173.88,0.0,0.0020413010663795964,42
CIV,105641.5,30840.0,74801.5,-43961.5,105641.5,0.14777327935222673,0.00037893495692460855,42
